country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,68.20%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,66.16%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,69.78%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,57.63%
JPN,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,74.76%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,53.31%
JPN,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,76.35%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,65.41%
JPN,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,57.01%
JPN,Organic,自然流量,Gaming,游戏,Casino,赌场,70.83%
JPN,Organic,自然流量,Gaming,游戏,Casual,休闲,53.54%
JPN,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,57.95%
JPN,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,43.64%
JPN,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,40.59%
JPN,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,42.19%
JPN,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,54.70%
JPN,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,39.75%
JPN,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,68.64%
JPN,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,44.35%
JPN,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,27.01%
KOR,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,54.93%
KOR,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,64.65%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,82.27%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,65.59%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,69.90%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,37.20%
KOR,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,61.96%
KOR,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,73.51%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,57.62%
KOR,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,49.84%
KOR,Organic,自然流量,Gaming,游戏,Casino,赌场,60.05%
KOR,Organic,自然流量,Gaming,游戏,Casual,休闲,51.38%
KOR,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,67.43%
KOR,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,40.48%
KOR,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,46.12%
KOR,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,35.51%
KOR,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,45.48%
KOR,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,52.17%
KOR,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,65.55%
KOR,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,45.31%
