country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users,,
BRA,payer,non-gaming,E-Commerce,1,94.57,384813,363936,,
BRA,payer,non-gaming,E-Commerce,2,92.75,281002,260617,,
BRA,payer,non-gaming,E-Commerce,3,91.05,222634,202717,,
BRA,payer,non-gaming,E-Commerce,4,89.44,184653,165157,,
DEU,payer,non-gaming,Other Consumer,1,89.11,36351,32393,,
KOR,payer,non-gaming,Health & Fitness,1,89,20316,18082,,
KOR,payer,non-gaming,E-Commerce,1,88.47,17793,15741,,
BRA,payer,non-gaming,E-Commerce,5,87.92,157576,138537,,
KOR,payer,non-gaming,Finance (Trading & Investing),1,87.14,14865,12953,,
BRA,payer,non-gaming,E-Commerce,6,86.41,137125,118493,,
DEU,payer,non-gaming,Other Consumer,2,85.34,26671,22761,,
AUS,payer,non-gaming,Travel,1,85.15,202,172,,
BRA,payer,non-gaming,E-Commerce,7,84.97,121264,103041,,
FRA,payer,non-gaming,E-Commerce,1,84.52,3159,2670,,
DEU,payer,non-gaming,Travel,1,83.84,2878,2413,,
BRA,payer,non-gaming,E-Commerce,8,83.68,109144,91336,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),1,83.25,30404,25310,,
DEU,non-payer,non-gaming,News,1,83.09,556,462,,
KOR,payer,non-gaming,E-Commerce,2,82.97,11945,9911,,
IND,payer,Gaming,MidCore,1,82.71,610219,504720,,
FRA,payer,non-gaming,Travel,1,82.5,3445,2842,,
BRA,payer,non-gaming,E-Commerce,9,82.42,99285,81832,,
DEU,payer,non-gaming,Other Consumer,3,81.97,21443,17576,,
KOR,payer,non-gaming,Other Consumer,1,81.95,22507,18444,,
BRA,payer,non-gaming,E-Commerce,10,81.22,91032,73937,,
KOR,payer,non-gaming,On-Demand,1,80.93,21865,17696,,
KOR,payer,non-gaming,Education,1,80.74,1101,889,,
KOR,payer,non-gaming,Finance (Trading & Investing),2,80.34,9717,7807,,
FRA,non-payer,non-gaming,News,1,80.17,1271,1019,,
BRA,payer,non-gaming,E-Commerce,11,80.03,83959,67196,,
DEU,payer,non-gaming,Travel,2,79.87,2290,1829,,
USA,payer,non-gaming,RMG,1,79.8,34654,27653,,
CAN,payer,non-gaming,Finance (Financial Health & Banking),1,79.74,306,244,,
AUS,payer,non-gaming,Travel,2,79.73,148,118,,
FRA,payer,non-gaming,E-Commerce,2,79.71,2361,1882,,
KOR,payer,non-gaming,Health & Fitness,2,79.03,10621,8394,,
BRA,payer,non-gaming,E-Commerce,12,78.89,77807,61385,,
DEU,payer,non-gaming,Other Consumer,4,78.87,18180,14339,,
KOR,non-payer,non-gaming,E-Commerce,1,78.73,445798,350993,,
KOR,payer,non-gaming,On-Demand,2,78.68,19190,15099,,
KOR,payer,non-gaming,Loyalty,1,78.66,29702,23363,,
KOR,payer,non-gaming,Travel,1,78.57,31088,24427,,
KOR,payer,non-gaming,Finance (Financial Health & Banking),1,78.43,1372,1076,,
KOR,payer,non-gaming,E-Commerce,3,78.22,9280,7259,,
FRA,payer,non-gaming,Travel,2,78.17,2739,2141,,
BRA,payer,non-gaming,E-Commerce,13,77.79,72548,56436,,
IDN,payer,Gaming,Casino,1,77.62,41106,31905,,
IDN,payer,non-gaming,On-Demand,1,77.09,227,175,,
AUS,payer,Gaming,Casino,1,76.76,5315,4080,,
KOR,payer,non-gaming,On-Demand,3,76.74,17317,13289,,
BRA,payer,non-gaming,E-Commerce,14,76.74,67866,52083,,
DEU,payer,non-gaming,Travel,3,76.73,1955,1500,,
DEU,non-payer,non-gaming,News,2,76.63,398,305,,
FRA,payer,Gaming,Casino,1,76.16,4766,3630,,
DEU,payer,non-gaming,Other Consumer,5,76.05,15852,12056,,
FRA,payer,non-gaming,E-Commerce,3,75.76,1939,1469,,
BRA,payer,non-gaming,E-Commerce,15,75.76,63746,48297,,
AUS,payer,non-gaming,Finance (Financial Health & Banking),1,75.71,280,212,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),2,75.47,20716,15635,,
IDN,payer,non-gaming,Entertainment,1,75.25,18355,13813,,
CAN,payer,Gaming,Casino,1,75.24,8481,6381,,
KOR,payer,non-gaming,On-Demand,4,75.05,15911,11941,,
AUS,payer,non-gaming,News,1,75,4,3,,
AUS,payer,non-gaming,News,2,75,4,3,,
BRA,payer,non-gaming,E-Commerce,16,74.78,60135,44970,,
AUS,payer,non-gaming,Travel,3,74.58,118,88,,
USA,payer,Gaming,Casino,1,74.5,134040,99858,,
FRA,payer,non-gaming,Travel,3,74.43,2319,1726,,
BRA,payer,non-gaming,Entertainment,1,74.09,23238,17217,,
BRA,payer,non-gaming,E-Commerce,17,73.84,56933,42041,,
KOR,payer,non-gaming,Other Consumer,2,73.78,15483,11424,,
DEU,payer,non-gaming,Travel,4,73.78,1697,1252,,
IDN,payer,non-gaming,On-Demand,2,73.74,198,146,,
USA,payer,non-gaming,On-Demand,1,73.71,22912,16889,,
KOR,payer,non-gaming,E-Commerce,4,73.61,7597,5592,,
USA,payer,non-gaming,Unclassified,1,73.49,68335,50221,,
KOR,payer,non-gaming,On-Demand,5,73.38,14697,10785,,
DEU,payer,non-gaming,Other Consumer,6,73.26,14034,10281,,
KOR,payer,non-gaming,Education,2,73.05,783,572,,
BRA,payer,non-gaming,E-Commerce,18,72.96,54095,39467,,
IND,payer,Gaming,MidCore,2,72.95,388455,283381,,
DEU,payer,non-gaming,E-Commerce,1,72.92,1566,1142,,
AUS,payer,non-gaming,Entertainment,1,72.84,1712,1247,,
KOR,payer,non-gaming,Finance (Trading & Investing),3,72.68,6979,5072,,
USA,payer,non-gaming,RMG,2,72.62,25522,18533,,
DEU,payer,non-gaming,On-Demand,1,72.37,2414,1747,,
FRA,payer,non-gaming,E-Commerce,4,72.15,1677,1210,,
FRA,non-payer,non-gaming,E-Commerce,1,72.13,79694,57484,,
BRA,payer,non-gaming,E-Commerce,19,72.07,51476,37098,,
FRA,non-payer,non-gaming,News,2,71.91,890,640,,
KOR,payer,non-gaming,On-Demand,6,71.87,13687,9837,,
CAN,payer,non-gaming,Finance (Trading & Investing),1,71.53,144,103,,
AUS,payer,non-gaming,Loyalty,1,71.48,10950,7827,,
KOR,payer,non-gaming,Health & Fitness,3,71.31,7725,5509,,
FRA,payer,non-gaming,Travel,4,71.3,2049,1461,,
BRA,payer,non-gaming,E-Commerce,20,71.25,49117,34996,,
FRA,payer,non-gaming,Entertainment,1,71.22,5385,3835,,
DEU,payer,non-gaming,Travel,5,71.12,1520,1081,,
DEU,non-payer,non-gaming,News,3,71.07,318,226,,
CAN,payer,non-gaming,Entertainment,1,70.95,7239,5136,,
KOR,payer,non-gaming,Finance (Financial Health & Banking),2,70.88,1013,718,,
CAN,payer,non-gaming,Loyalty,1,70.71,22172,15678,,
DEU,payer,Gaming,Other Gaming,1,70.52,309780,218462,,
FRA,payer,non-gaming,Education,1,70.45,132,93,,
BRA,payer,non-gaming,E-Commerce,21,70.31,46804,32906,,
KOR,non-payer,non-gaming,E-Commerce,2,70.19,316864,222422,,
KOR,payer,Gaming,Casino,1,70.15,2737,1920,,
IDN,payer,non-gaming,On-Demand,3,70.11,174,122,,
