country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,63.23%
IDN,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,77.78%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,54.25%
IDN,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,37.21%
JPN,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,85.51%
JPN,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,64.10%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,68.20%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,66.16%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,69.78%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,57.63%
JPN,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,74.76%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,53.31%
JPN,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,76.35%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,65.41%
JPN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,57.01%
JPN,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,70.83%
JPN,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,53.54%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,57.95%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,43.64%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,40.59%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,42.19%
JPN,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,54.70%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,39.75%
JPN,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,68.64%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,44.35%
JPN,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,27.01%
KOR,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,54.93%
KOR,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,64.65%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,82.27%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,65.59%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,69.90%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,37.20%
KOR,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,61.96%
KOR,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,73.51%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,57.62%
KOR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,49.84%
KOR,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,60.05%
KOR,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,51.38%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,67.43%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,40.48%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,46.12%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,35.51%
KOR,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,45.48%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,52.17%
KOR,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,65.55%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,45.31%
KOR,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,30.24%
GBR,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,61.64%
GBR,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,48.57%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,62.38%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,51.69%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,66.58%
